model,input_per_mtok,output_per_mtok,cache_read_per_mtok,cache_write_per_mtok
claude-opus-5,5.00,25.00,0.50,6.25
claude-opus-4-8,5.00,25.00,0.50,6.25
claude-opus-4-7,5.00,25.00,0.50,6.25
claude-opus-4-6,5.00,25.00,0.50,6.25
claude-opus-4-6-1m,7.50,37.50,0.75,9.375
claude-opus-4-5,5.00,25.00,0.50,6.25
claude-sonnet-4-6,3.00,15.00,0.30,3.75
claude-sonnet-4-5,3.00,15.00,0.30,3.75
claude-sonnet-4,3.00,15.00,0.30,3.75
claude-sonnet-4-20250514,3.00,15.00,0.30,3.75
claude-sonnet-5,3.00,15.00,0.30,3.75
claude-haiku-4-5,1.00,5.00,0.10,1.25
claude-haiku-4-5-20251001,1.00,5.00,0.10,1.25
claude-3-5-sonnet-20241022,3.00,15.00,0.30,3.75
claude-3-5-haiku,0.80,4.00,0.08,1.00
claude-3-5-haiku-20241022,0.80,4.00,0.08,1.00
claude-3-haiku,0.25,1.25,0.03,0.30
gpt-5.5,1.25,10.00,0.125,0
gpt-5.4,1.25,10.00,0.125,0
gpt-5.4-mini,0.25,2.00,0.025,0
gpt-5.4-2026-03-05,1.25,10.00,0.125,0
gpt-5,1.25,10.00,0.125,0
gpt-5-mini,0.25,2.00,0.025,0
gpt-5.1-codex,1.25,10.00,0.125,0
gpt-5.3-codex,1.25,10.00,0.125,0
codex-5.5,1.25,10.00,0.125,0
gpt-4.1,2.00,8.00,0.50,0
gpt-4o-mini,0.15,0.60,0.075,0
gpt-4o-mini-2024-07-18,0.15,0.60,0.075,0
google/gemini-3-flash-preview,0,0,0,0
gpt-5.6-sol,1.25,10.00,0.125,0
